Versão;CLUSTER_GRUPO;CEP_RISCO;DS_MOD_PRC;MOD_PRC;DS_MOD_ADC;MOD_ADC;OFERTA_DIGITAL
V1805;G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R06;15
V1805;G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R07;15
V1805;G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R08;15
V1805;G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R09;15
V1805;G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R10;15
V1805;G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R11;15
V1805;G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R12;15
V1805;G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R13;12
V1805;G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R14;12
V1805;G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R15;12
V1805;G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R16;12
V1805;G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R17;12
V1805;G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R18;12
V1805;G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R19;12
V1805;G1;d. SEM RISCO;HVI3;R09;G1 - BHV;R20;12
V1805;G1;d. SEM RISCO;HVI3;R17;Restritivos;SEM RESTRITIVOS;5
V1805;G1;d. SEM RISCO;HVI3;R18;Restritivos;SEM RESTRITIVOS;5
V1805;G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R01;15
V1805;G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R02;15
V1805;G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R03;15
V1805;G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R04;15
V1805;G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R05;15
V1805;G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R06;15
V1805;G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R07;15
V1805;G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R08;15
V1805;G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R09;12
V1805;G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R10;12
V1805;G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R11;12
V1805;G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R12;12
V1805;G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R13;12
V1805;G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R14;12
V1805;G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R15;12
V1805;G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R16;12
V1805;G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R17;12
V1805;G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R18;12
V1805;G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R19;12
V1805;G1;d. SEM RISCO;HVI3;R10;G1 - BHV;R20;12
V1805;G1;d. SEM RISCO;HVI3;R19;Restritivos;SEM RESTRITIVOS;5
V1805;G1;d. SEM RISCO;HVI3;R20;Restritivos;SEM RESTRITIVOS;5
V1805;G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R01;15
V1805;G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R02;15
V1805;G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R03;15
V1805;G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R04;15
V1805;G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R05;12
V1805;G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R06;12
V1805;G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R07;12
V1805;G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R08;12
V1805;G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R09;12
V1805;G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R10;12
V1805;G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R11;12
V1805;G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R12;12
V1805;G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R13;12
V1805;G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R14;12
V1805;G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R15;12
V1805;G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R16;12
V1805;G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R17;12
V1805;G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R18;12
V1805;G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R19;12
V1805;G1;d. SEM RISCO;HVI3;R11;G1 - BHV;R20;12
V1805;G1;d. SEM RISCO;HVI3;R99;Restritivos;SEM RESTRITIVOS;0
V1805;G3;c.RISCO ALTO;HVI3;R01;Restritivos;SEM RESTRITIVOS;15
V1805;G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R01;15
V1805;G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R02;15
V1805;G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R03;15
V1805;G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R04;15
V1805;G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R05;12
V1805;G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R06;12
V1805;G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R07;12
V1805;G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R08;12
V1805;G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R09;12
V1805;G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R10;12
V1805;G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R11;12
V1805;G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R12;12
V1805;G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R13;12
V1805;G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R14;12
V1805;G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R15;12
V1805;G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R16;12
V1805;G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R17;12
V1805;G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R18;12
V1805;G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R19;12
V1805;G1;d. SEM RISCO;HVI3;R12;G1 - BHV;R20;12
V1805;G3;a.RISCO BAIXO;HVI3;R01;Restritivos;SEM RESTRITIVOS;15
V1805;G3;b.RISCO NEUTRO;HVI3;R01;Restritivos;SEM RESTRITIVOS;15
V1805;G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R01;12
V1805;G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R02;12
V1805;G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R03;12
V1805;G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R04;12
V1805;G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R05;12
V1805;G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R06;12
V1805;G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R07;12
V1805;G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R08;12
V1805;G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R09;12
V1805;G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R10;12
V1805;G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R11;12
V1805;G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R12;12
V1805;G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R13;12
V1805;G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R14;12
V1805;G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R15;12
V1805;G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R16;12
V1805;G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R17;12
V1805;G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R18;12
V1805;G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R19;12
V1805;G1;d. SEM RISCO;HVI3;R13;G1 - BHV;R20;12
V1805;G3;a.RISCO BAIXO;HVI3;R02;Restritivos;SEM RESTRITIVOS;15
V1805;G3;c.RISCO ALTO;HVI3;R02;Restritivos;SEM RESTRITIVOS;15
V1805;G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R01;12
V1805;G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R02;12
V1805;G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R03;12
V1805;G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R04;12
V1805;G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R05;12
V1805;G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R06;12
V1805;G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R07;12
V1805;G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R08;12
V1805;G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R09;12
V1805;G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R10;12
V1805;G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R11;12
V1805;G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R12;12
V1805;G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R13;12
V1805;G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R14;12
V1805;G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R15;12
V1805;G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R16;12
V1805;G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R17;12
V1805;G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R18;12
V1805;G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R19;12
V1805;G1;d. SEM RISCO;HVI3;R14;G1 - BHV;R20;12
V1805;G3;b.RISCO NEUTRO;HVI3;R02;Restritivos;SEM RESTRITIVOS;15
V1805;G3;b.RISCO NEUTRO;HVI3;R03;Restritivos;SEM RESTRITIVOS;15
V1805;G1;d. SEM RISCO;HVI3;R15;G1 - BHV;R01;12
V1805;G1;d. SEM RISCO;HVI3;R15;G1 - BHV;R02;12
V1805;G1;d. SEM RISCO;HVI3;R15;G1 - BHV;R03;12
V1805;G1;d. SEM RISCO;HVI3;R15;G1 - BHV;R04;12
V1805;G1;d. SEM RISCO;HVI3;R15;G1 - BHV;R05;12
V1805;G1;d. SEM RISCO;HVI3;R15;G1 - BHV;R06;12
V1805;G1;d. SEM RISCO;HVI3;R15;G1 - BHV;R07;12
V1805;G1;d. SEM RISCO;HVI3;R15;G1 - BHV;R08;12
V1805;G1;d. SEM RISCO;HVI3;R15;G1 - BHV;R09;12
V1805;G1;d. SEM RISCO;HVI3;R15;G1 - BHV;R10;12
V1805;G1;d. SEM RISCO;HVI3;R15;G1 - BHV;R11;12
V1805;G1;d. SEM RISCO;HVI3;R15;G1 - BHV;R12;12
V1805;G1;d. SEM RISCO;HVI3;R15;G1 - BHV;R13;12
V1805;G1;d. SEM RISCO;HVI3;R15;G1 - BHV;R14;12
V1805;G1;d. SEM RISCO;HVI3;R15;G1 - BHV;R15;12
V1805;G1;d. SEM RISCO;HVI3;R15;G1 - BHV;R16;12
V1805;G1;d. SEM RISCO;HVI3;R15;G1 - BHV;R17;12
V1805;G1;d. SEM RISCO;HVI3;R15;G1 - BHV;R18;12
V1805;G1;d. SEM RISCO;HVI3;R15;G1 - BHV;R19;12
V1805;G1;d. SEM RISCO;HVI3;R15;G1 - BHV;R20;12
V1805;G3;a.RISCO BAIXO;HVI3;R03;Restritivos;SEM RESTRITIVOS;15
V1805;G3;c.RISCO ALTO;HVI3;R03;Restritivos;SEM RESTRITIVOS;15
V1805;G1;d. SEM RISCO;HVI3;R16;G1 - BHV;R01;12
V1805;G1;d. SEM RISCO;HVI3;R16;G1 - BHV;R02;12
V1805;G1;d. SEM RISCO;HVI3;R16;G1 - BHV;R03;12
V1805;G1;d. SEM RISCO;HVI3;R16;G1 - BHV;R04;12
V1805;G1;d. SEM RISCO;HVI3;R16;G1 - BHV;R05;12
V1805;G1;d. SEM RISCO;HVI3;R16;G1 - BHV;R06;12
V1805;G1;d. SEM RISCO;HVI3;R16;G1 - BHV;R07;12
V1805;G1;d. SEM RISCO;HVI3;R16;G1 - BHV;R08;12
V1805;G1;d. SEM RISCO;HVI3;R16;G1 - BHV;R09;12
V1805;G1;d. SEM RISCO;HVI3;R16;G1 - BHV;R10;12
V1805;G1;d. SEM RISCO;HVI3;R16;G1 - BHV;R11;12
V1805;G1;d. SEM RISCO;HVI3;R16;G1 - BHV;R12;12
V1805;G1;d. SEM RISCO;HVI3;R16;G1 - BHV;R13;12
V1805;G1;d. SEM RISCO;HVI3;R16;G1 - BHV;R14;12
V1805;G1;d. SEM RISCO;HVI3;R16;G1 - BHV;R15;12
V1805;G1;d. SEM RISCO;HVI3;R16;G1 - BHV;R16;12
V1805;G1;d. SEM RISCO;HVI3;R16;G1 - BHV;R17;12
V1805;G1;d. SEM RISCO;HVI3;R16;G1 - BHV;R18;12
V1805;G1;d. SEM RISCO;HVI3;R16;G1 - BHV;R19;12
V1805;G1;d. SEM RISCO;HVI3;R16;G1 - BHV;R20;12
V1805;G3;c.RISCO ALTO;HVI3;R04;Restritivos;SEM RESTRITIVOS;15
V1805;G3;a.RISCO BAIXO;HVI3;R04;Restritivos;SEM RESTRITIVOS;15
V1805;G1;d. SEM RISCO;HVI3;R17;G1 - BHV;R01;12
V1805;G1;d. SEM RISCO;HVI3;R17;G1 - BHV;R02;12
V1805;G1;d. SEM RISCO;HVI3;R17;G1 - BHV;R03;12
V1805;G1;d. SEM RISCO;HVI3;R17;G1 - BHV;R04;12
V1805;G1;d. SEM RISCO;HVI3;R17;G1 - BHV;R05;12
V1805;G1;d. SEM RISCO;HVI3;R17;G1 - BHV;R06;12
V1805;G1;d. SEM RISCO;HVI3;R17;G1 - BHV;R07;12
V1805;G1;d. SEM RISCO;HVI3;R17;G1 - BHV;R08;12
V1805;G1;d. SEM RISCO;HVI3;R17;G1 - BHV;R09;12
V1805;G1;d. SEM RISCO;HVI3;R17;G1 - BHV;R10;12
V1805;G1;d. SEM RISCO;HVI3;R17;G1 - BHV;R11;12
V1805;G1;d. SEM RISCO;HVI3;R17;G1 - BHV;R12;12
V1805;G1;d. SEM RISCO;HVI3;R17;G1 - BHV;R13;12
V1805;G1;d. SEM RISCO;HVI3;R17;G1 - BHV;R14;12
V1805;G1;d. SEM RISCO;HVI3;R17;G1 - BHV;R15;12
V1805;G1;d. SEM RISCO;HVI3;R17;G1 - BHV;R16;12
V1805;G1;d. SEM RISCO;HVI3;R17;G1 - BHV;R17;12
V1805;G1;d. SEM RISCO;HVI3;R17;G1 - BHV;R18;12
V1805;G1;d. SEM RISCO;HVI3;R17;G1 - BHV;R19;12
V1805;G1;d. SEM RISCO;HVI3;R17;G1 - BHV;R20;12
V1805;G3;b.RISCO NEUTRO;HVI3;R04;Restritivos;SEM RESTRITIVOS;15
V1805;G3;c.RISCO ALTO;HVI3;R05;Restritivos;SEM RESTRITIVOS;15
V1805;G1;d. SEM RISCO;HVI3;R18;G1 - BHV;R01;12
V1805;G1;d. SEM RISCO;HVI3;R18;G1 - BHV;R02;12
V1805;G1;d. SEM RISCO;HVI3;R18;G1 - BHV;R03;12
V1805;G1;d. SEM RISCO;HVI3;R18;G1 - BHV;R04;12
V1805;G1;d. SEM RISCO;HVI3;R18;G1 - BHV;R05;12
V1805;G1;d. SEM RISCO;HVI3;R18;G1 - BHV;R06;12
V1805;G1;d. SEM RISCO;HVI3;R18;G1 - BHV;R07;12
V1805;G1;d. SEM RISCO;HVI3;R18;G1 - BHV;R08;12
V1805;G1;d. SEM RISCO;HVI3;R18;G1 - BHV;R09;12
V1805;G1;d. SEM RISCO;HVI3;R18;G1 - BHV;R10;12
V1805;G1;d. SEM RISCO;HVI3;R18;G1 - BHV;R11;12
V1805;G1;d. SEM RISCO;HVI3;R18;G1 - BHV;R12;12
V1805;G1;d. SEM RISCO;HVI3;R18;G1 - BHV;R13;12
V1805;G1;d. SEM RISCO;HVI3;R18;G1 - BHV;R14;12
V1805;G1;d. SEM RISCO;HVI3;R18;G1 - BHV;R15;12
V1805;G1;d. SEM RISCO;HVI3;R18;G1 - BHV;R16;12
V1805;G1;d. SEM RISCO;HVI3;R18;G1 - BHV;R17;12
V1805;G1;d. SEM RISCO;HVI3;R18;G1 - BHV;R18;12
V1805;G1;d. SEM RISCO;HVI3;R18;G1 - BHV;R19;12
V1805;G1;d. SEM RISCO;HVI3;R18;G1 - BHV;R20;12
V1805;G3;a.RISCO BAIXO;HVI3;R05;Restritivos;SEM RESTRITIVOS;15
V1805;G3;b.RISCO NEUTRO;HVI3;R05;Restritivos;SEM RESTRITIVOS;15
V1805;G1;d. SEM RISCO;HVI3;R19;G1 - BHV;R01;12
V1805;G1;d. SEM RISCO;HVI3;R19;G1 - BHV;R02;12
V1805;G1;d. SEM RISCO;HVI3;R19;G1 - BHV;R03;12
V1805;G1;d. SEM RISCO;HVI3;R19;G1 - BHV;R04;12
V1805;G1;d. SEM RISCO;HVI3;R19;G1 - BHV;R05;12
V1805;G1;d. SEM RISCO;HVI3;R19;G1 - BHV;R06;12
V1805;G1;d. SEM RISCO;HVI3;R19;G1 - BHV;R07;12
V1805;G1;d. SEM RISCO;HVI3;R19;G1 - BHV;R08;12
V1805;G1;d. SEM RISCO;HVI3;R19;G1 - BHV;R09;12
V1805;G1;d. SEM RISCO;HVI3;R19;G1 - BHV;R10;12
V1805;G1;d. SEM RISCO;HVI3;R19;G1 - BHV;R11;12
V1805;G1;d. SEM RISCO;HVI3;R19;G1 - BHV;R12;12
V1805;G1;d. SEM RISCO;HVI3;R19;G1 - BHV;R13;12
V1805;G1;d. SEM RISCO;HVI3;R19;G1 - BHV;R14;12
V1805;G1;d. SEM RISCO;HVI3;R19;G1 - BHV;R15;12
V1805;G1;d. SEM RISCO;HVI3;R19;G1 - BHV;R16;12
V1805;G1;d. SEM RISCO;HVI3;R19;G1 - BHV;R17;12
V1805;G1;d. SEM RISCO;HVI3;R19;G1 - BHV;R18;12
V1805;G1;d. SEM RISCO;HVI3;R19;G1 - BHV;R19;12
V1805;G1;d. SEM RISCO;HVI3;R19;G1 - BHV;R20;12
V1805;G3;c.RISCO ALTO;HVI3;R06;Restritivos;SEM RESTRITIVOS;15
V1805;G3;b.RISCO NEUTRO;HVI3;R06;Restritivos;SEM RESTRITIVOS;15
V1805;G1;d. SEM RISCO;HVI3;R20;G1 - BHV;R01;12
V1805;G1;d. SEM RISCO;HVI3;R20;G1 - BHV;R02;12
V1805;G1;d. SEM RISCO;HVI3;R20;G1 - BHV;R03;12
V1805;G1;d. SEM RISCO;HVI3;R20;G1 - BHV;R04;12
V1805;G1;d. SEM RISCO;HVI3;R20;G1 - BHV;R05;12
V1805;G1;d. SEM RISCO;HVI3;R20;G1 - BHV;R06;12
V1805;G1;d. SEM RISCO;HVI3;R20;G1 - BHV;R07;12
V1805;G1;d. SEM RISCO;HVI3;R20;G1 - BHV;R08;12
V1805;G1;d. SEM RISCO;HVI3;R20;G1 - BHV;R09;12
V1805;G1;d. SEM RISCO;HVI3;R20;G1 - BHV;R10;12
V1805;G1;d. SEM RISCO;HVI3;R20;G1 - BHV;R11;12
V1805;G1;d. SEM RISCO;HVI3;R20;G1 - BHV;R12;12
V1805;G1;d. SEM RISCO;HVI3;R20;G1 - BHV;R13;12
V1805;G1;d. SEM RISCO;HVI3;R20;G1 - BHV;R14;12
V1805;G1;d. SEM RISCO;HVI3;R20;G1 - BHV;R15;12
V1805;G1;d. SEM RISCO;HVI3;R20;G1 - BHV;R16;12
V1805;G1;d. SEM RISCO;HVI3;R20;G1 - BHV;R17;12
V1805;G1;d. SEM RISCO;HVI3;R20;G1 - BHV;R18;12
V1805;G1;d. SEM RISCO;HVI3;R20;G1 - BHV;R19;12
V1805;G1;d. SEM RISCO;HVI3;R20;G1 - BHV;R20;12
V1805;G3;a.RISCO BAIXO;HVI3;R06;Restritivos;SEM RESTRITIVOS;15
V1805;G3;a.RISCO BAIXO;HVI3;R07;Restritivos;SEM RESTRITIVOS;15
V1805;G1;d. SEM RISCO;HVI3;R99;G1 - BHV;R01;12
V1805;G1;d. SEM RISCO;HVI3;R99;G1 - BHV;R02;12
V1805;G1;d. SEM RISCO;HVI3;R99;G1 - BHV;R03;12
V1805;G1;d. SEM RISCO;HVI3;R99;G1 - BHV;R04;12
V1805;G1;d. SEM RISCO;HVI3;R99;G1 - BHV;R05;12
V1805;G1;d. SEM RISCO;HVI3;R99;G1 - BHV;R06;12
V1805;G1;d. SEM RISCO;HVI3;R99;G1 - BHV;R07;12
V1805;G1;d. SEM RISCO;HVI3;R99;G1 - BHV;R08;12
V1805;G1;d. SEM RISCO;HVI3;R99;G1 - BHV;R09;12
V1805;G1;d. SEM RISCO;HVI3;R99;G1 - BHV;R10;12
V1805;G1;d. SEM RISCO;HVI3;R99;G1 - BHV;R11;12
V1805;G1;d. SEM RISCO;HVI3;R99;G1 - BHV;R12;12
V1805;G1;d. SEM RISCO;HVI3;R99;G1 - BHV;R13;12
V1805;G1;d. SEM RISCO;HVI3;R99;G1 - BHV;R14;12
V1805;G1;d. SEM RISCO;HVI3;R99;G1 - BHV;R15;12
V1805;G1;d. SEM RISCO;HVI3;R99;G1 - BHV;R16;12
V1805;G1;d. SEM RISCO;HVI3;R99;G1 - BHV;R17;12
